session,is_bot,prolific_id,id_in_session,idx,round_number,multiplier,disclose,contribution,rt1,rt2,reward,payoff,total,individual_share,opp_multiplier,opp_disclose,opp_p_disclose,opp_contribution,opp_payoff,total_contribution
jpjzuvf1,1,6164b9e5d7dd59233b570c51,1,0,1,1.5,0,3,6602,11512,17.0,17.0,17.0,10.0,1.5,1,0.5,10,10.0,19.5
jpjzuvf1,0,6155d0cafa46f83b2716f453,2,1,1,1.5,0,5,8912,20080,21.0,21.0,21.0,16.0,2.5,1,0.5,10,16.0,32.5
jpjzuvf1,0,615ddbb6663eca2e59404f0d,3,2,1,2.5,1,5,8959,10124,24.0,24.0,24.0,19.0,2.5,0,0.5,10,19.0,37.5
jpjzuvf1,0,5f31671e69023f000b0c0547,4,3,1,2.5,1,4,10991,19195,11.0,11.0,11.0,5.0,1.5,1,0.5,0,15.0,10.0
jpjzuvf1,1,6164b9e5d7dd59233b570c51,1,0,2,1.5,1,5,8188,7284,16.0,16.0,33.0,11.0,1.5,0,0.5,10,11.0,22.5
jpjzuvf1,0,6155d0cafa46f83b2716f453,2,1,2,1.5,1,10,6972,7362,15.0,15.0,36.0,15.0,1.5,1,0.5,10,15.0,30.0
jpjzuvf1,0,615ddbb6663eca2e59404f0d,3,2,2,2.5,0,7,11580,13538,12.0,12.0,36.0,9.0,1.5,0,0.5,0,19.0,17.5
jpjzuvf1,0,5f31671e69023f000b0c0547,4,3,2,2.5,1,4,9159,5821,24.0,24.0,35.0,18.0,2.5,1,0.5,10,18.0,35.0
jpjzuvf1,1,6164b9e5d7dd59233b570c51,1,0,3,1.5,1,3,6562,7892,9.0,9.0,42.0,2.0,1.5,0,0.5,0,12.0,4.5
jpjzuvf1,0,6155d0cafa46f83b2716f453,2,1,3,1.5,1,10,4820,18591,20.0,20.0,56.0,20.0,2.5,0,0.5,10,20.0,40.0
jpjzuvf1,0,615ddbb6663eca2e59404f0d,3,2,3,2.5,1,2,7151,9895,10.0,10.0,46.0,2.0,1.5,1,0.5,0,12.0,5.0
jpjzuvf1,0,5f31671e69023f000b0c0547,4,3,3,2.5,1,3,6589,8257,23.0,23.0,58.0,16.0,2.5,0,0.5,10,16.0,32.5
jpjzuvf1,1,6164b9e5d7dd59233b570c51,1,0,4,1.5,0,3,10664,6921,17.0,17.0,17.0,10.0,1.5,1,0.75,10,10.0,19.5
jpjzuvf1,0,6155d0cafa46f83b2716f453,2,1,4,1.5,1,10,8733,5906,8.0,8.0,8.0,8.0,1.5,1,0.5,0,18.0,15.0
jpjzuvf1,0,615ddbb6663eca2e59404f0d,3,2,4,2.5,1,5,9791,6390,19.0,19.0,19.0,14.0,1.5,1,0.5,10,14.0,27.5
jpjzuvf1,0,5f31671e69023f000b0c0547,4,3,4,2.5,1,2,8016,3541,10.0,10.0,10.0,2.0,1.5,1,1.0,0,12.0,5.0
jpjzuvf1,1,6164b9e5d7dd59233b570c51,1,0,5,1.5,1,3,4954,6922,9.0,9.0,26.0,2.0,1.5,1,0.75,0,12.0,4.5
jpjzuvf1,0,6155d0cafa46f83b2716f453,2,1,5,1.5,1,10,4021,5506,20.0,20.0,28.0,20.0,2.5,1,0.5,10,20.0,40.0
jpjzuvf1,0,615ddbb6663eca2e59404f0d,3,2,5,2.5,1,7,7780,6168,24.0,24.0,43.0,21.0,2.5,1,0.5,10,21.0,42.5
jpjzuvf1,0,5f31671e69023f000b0c0547,4,3,5,2.5,0,0,3022,3895,10.0,10.0,20.0,0.0,1.5,1,1.0,0,10.0,0.0
jpjzuvf1,1,6164b9e5d7dd59233b570c51,1,0,6,1.5,1,2,6514,8611,10.0,10.0,36.0,2.0,1.5,1,0.75,0,12.0,3.0
