session,is_bot,prolific_id,id_in_session,idx,round_number,multiplier,disclose,contribution,rt1,rt2,reward,payoff,total,individual_share,opp_multiplier,opp_disclose,opp_p_disclose,opp_contribution,opp_payoff,total_contribution
oxvb84r3,0,613c7f972e67021c3fe9fd40,1,0,1,1.5,0,5,19515,27073,16.0,16.0,16.0,11.0,1.5,1,0.5,10,11.0,22.5
oxvb84r3,0,5c6eb56e1218960001b5e19c,2,1,1,1.5,1,6,4314,6308,16.0,16.0,16.0,12.0,1.5,0,0.5,10,12.0,24.0
oxvb84r3,0,1Jg0077ZdE60959759q9n6S7,3,2,1,2.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
oxvb84r3,1,5ae3003bca00550001e4a4b7,4,3,1,2.5,1,4,10969,24909,18.0,18.0,18.0,12.0,1.5,0,0.5,10,12.0,25.0
oxvb84r3,0,613c7f972e67021c3fe9fd40,1,0,2,1.5,1,1,15490,8823,22.0,22.0,38.0,13.0,2.5,0,0.5,10,13.0,26.5
oxvb84r3,0,5c6eb56e1218960001b5e19c,2,1,2,1.5,1,10,10252,5240,15.0,15.0,31.0,15.0,1.5,0,0.5,10,15.0,30.0
oxvb84r3,0,1Jg0077ZdE60959759q9n6S7,3,2,2,2.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
oxvb84r3,1,5ae3003bca00550001e4a4b7,4,3,2,2.5,1,4,4903,8595,18.0,18.0,36.0,12.0,1.5,1,0.5,10,12.0,25.0
oxvb84r3,0,613c7f972e67021c3fe9fd40,1,0,3,1.5,1,5,9507,5307,21.0,21.0,59.0,16.0,2.5,0,0.5,10,16.0,32.5
oxvb84r3,0,5c6eb56e1218960001b5e19c,2,1,3,1.5,0,5,3550,2407,21.0,21.0,52.0,16.0,2.5,0,0.5,10,16.0,32.5
oxvb84r3,0,1Jg0077ZdE60959759q9n6S7,3,2,3,2.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
oxvb84r3,1,5ae3003bca00550001e4a4b7,4,3,3,2.5,1,4,3350,7304,24.0,24.0,60.0,18.0,2.5,0,0.5,10,18.0,35.0
oxvb84r3,0,613c7f972e67021c3fe9fd40,1,0,4,1.5,0,3,25265,8253,22.0,22.0,22.0,15.0,2.5,1,1.0,10,15.0,29.5
oxvb84r3,0,5c6eb56e1218960001b5e19c,2,1,4,1.5,0,3,13256,10781,22.0,22.0,22.0,15.0,2.5,1,0.75,10,15.0,29.5
oxvb84r3,0,1Jg0077ZdE60959759q9n6S7,3,2,4,2.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
oxvb84r3,1,5ae3003bca00550001e4a4b7,4,3,4,2.5,1,4,8458,7617,18.0,18.0,18.0,12.0,1.5,1,1.0,10,12.0,25.0
oxvb84r3,0,613c7f972e67021c3fe9fd40,1,0,5,1.5,1,2,3762,12802,22.0,22.0,44.0,14.0,2.5,1,1.0,10,14.0,28.0
oxvb84r3,0,5c6eb56e1218960001b5e19c,2,1,5,1.5,0,10,1447,2836,8.0,8.0,30.0,8.0,1.5,1,0.75,0,18.0,15.0
oxvb84r3,0,1Jg0077ZdE60959759q9n6S7,3,2,5,2.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
oxvb84r3,1,5ae3003bca00550001e4a4b7,4,3,5,2.5,1,8,3837,9046,24.0,24.0,42.0,22.0,2.5,1,1.0,10,22.0,45.0
oxvb84r3,0,613c7f972e67021c3fe9fd40,1,0,6,1.5,1,8,7109,18110,8.0,8.0,52.0,6.0,1.5,1,1.0,0,16.0,12.0
oxvb84r3,0,5c6eb56e1218960001b5e19c,2,1,6,1.5,1,10,3110,7018,20.0,20.0,50.0,20.0,2.5,1,0.75,10,20.0,40.0
oxvb84r3,0,1Jg0077ZdE60959759q9n6S7,3,2,6,2.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
oxvb84r3,1,5ae3003bca00550001e4a4b7,4,3,6,2.5,1,8,3209,5048,24.0,24.0,66.0,22.0,2.5,1,1.0,10,22.0,45.0
oxvb84r3,0,613c7f972e67021c3fe9fd40,1,0,7,1.5,1,1,5018,7450,22.0,22.0,74.0,13.0,2.5,1,1.0,10,13.0,26.5
oxvb84r3,0,5c6eb56e1218960001b5e19c,2,1,7,1.5,0,10,9906,6059,20.0,20.0,70.0,20.0,2.5,1,0.75,10,20.0,40.0
oxvb84r3,0,1Jg0077ZdE60959759q9n6S7,3,2,7,2.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
oxvb84r3,1,5ae3003bca00550001e4a4b7,4,3,7,2.5,1,4,2694,4833,11.0,11.0,77.0,5.0,1.5,1,1.0,0,15.0,10.0
oxvb84r3,0,613c7f972e67021c3fe9fd40,1,0,8,1.5,1,5,4499,8008,16.0,16.0,90.0,11.0,1.5,1,1.0,10,11.0,22.5
oxvb84r3,0,5c6eb56e1218960001b5e19c,2,1,8,1.5,1,10,2638,2382,20.0,20.0,90.0,20.0,2.5,1,0.75,10,20.0,40.0
oxvb84r3,0,1Jg0077ZdE60959759q9n6S7,3,2,8,2.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
oxvb84r3,1,5ae3003bca00550001e4a4b7,4,3,8,2.5,1,2,1966,5769,10.0,10.0,87.0,2.0,1.5,1,1.0,0,12.0,5.0
oxvb84r3,0,613c7f972e67021c3fe9fd40,1,0,9,1.5,1,3,5224,8872,22.0,22.0,112.0,15.0,2.5,1,1.0,10,15.0,29.5
oxvb84r3,0,5c6eb56e1218960001b5e19c,2,1,9,1.5,0,10,2191,8305,8.0,8.0,98.0,8.0,1.5,1,0.75,0,18.0,15.0
oxvb84r3,0,1Jg0077ZdE60959759q9n6S7,3,2,9,2.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
oxvb84r3,1,5ae3003bca00550001e4a4b7,4,3,9,2.5,1,8,1815,4130,24.0,24.0,111.0,22.0,2.5,1,1.0,10,22.0,45.0
oxvb84r3,0,613c7f972e67021c3fe9fd40,1,0,10,1.5,1,3,6263,8936,9.0,9.0,121.0,2.0,1.5,1,1.0,0,12.0,4.5
oxvb84r3,0,5c6eb56e1218960001b5e19c,2,1,10,1.5,0,2,11321,2519,17.0,17.0,115.0,9.0,1.5,1,0.75,10,9.0,18.0
oxvb84r3,0,1Jg0077ZdE60959759q9n6S7,3,2,10,2.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
oxvb84r3,1,5ae3003bca00550001e4a4b7,4,3,10,2.5,1,-1,70489,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
