Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6170183e9feec1bd70bcb3d1,60bb3b463887c2f9d1385cce,APPROVED,2021-10-20T13:23:10.405000Z,2021-10-20T13:59:14.170000Z,2021-10-20T14:23:54.337000Z,,2164,84331F77,1319,English,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6170183f2de5aee26c6682a5,5ed7f3404ea9bd2e0ad02df6,APPROVED,2021-10-20T13:23:26.730000Z,2021-10-20T13:58:08.448000Z,2021-10-20T14:24:18.389000Z,,2082,84331F77,470,"Greek, English",27,Male,White,Greece,Greece,Greece,Greek,Yes,Unemployed (and job seeking)
617018400e89581e9608e843,6119272eab990f2cad815a38,APPROVED,2021-10-20T13:23:13.412000Z,2021-10-20T13:59:55.302000Z,2021-10-20T14:23:52.919000Z,,2202,84331F77,173,"English, Italian, Polish",20,Male,White,Poland,Poland,Poland,Polish,Yes,Part-Time
617018404242d92b78004e73,5b94d723839c0a00010f88d9,APPROVED,2021-10-20T13:25:02.743000Z,2021-10-20T14:01:00.223000Z,2021-10-20T14:24:28.032000Z,,2158,84331F77,691,"Polish, English",26,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
617018426d48945543ce6636,6002e90144049f32edaf9ccf,APPROVED,2021-10-20T13:23:16.268000Z,2021-10-20T13:58:07.720000Z,2021-10-20T14:23:59.634000Z,,2092,84331F77,1300,English,24,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
61701842b07db65609afb6ec,61620fd0d0e4652e4283673f,APPROVED,2021-10-20T13:23:34.722000Z,2021-10-20T13:59:51.501000Z,2021-10-20T14:24:19.316000Z,,2177,84331F77,74,"English, Italian, Spanish",34,Male,White,Argentina,Germany,Italy,Spanish,DATA_EXPIRED,DATA_EXPIRED
61701842b62225c2001aa7f4,609d93dea742beade6157bdc,APPROVED,2021-10-20T13:23:25.292000Z,2021-10-20T14:01:42.106000Z,2021-10-20T14:24:16.605000Z,,2297,84331F77,163,"Polish, English",23,Male,White,Poland,Poland,Poland,Polish,No,Unemployed (and job seeking)
61701842fba9c776d685fd16,5fafb6dc1c1c102784963a5e,APPROVED,2021-10-20T13:23:14.914000Z,2021-10-20T13:59:33.574000Z,2021-10-20T14:25:51.228000Z,,2179,NOCODE,118,"English, Portuguese",26,Female,Mixed,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
617018430d556f8465c0b56b,5f1c2a59b42e4048b89ad309,APPROVED,2021-10-20T13:23:17.792000Z,2021-10-20T14:01:36.743000Z,2021-10-20T14:25:31.779000Z,,2299,no code,997,English,54,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6170184311e9dda8279a3f4a,609478fa9e5b4d075246cfaf,APPROVED,2021-10-20T13:24:41.046000Z,2021-10-20T14:00:57.130000Z,2021-10-20T14:24:27.087000Z,,2177,84331F77,673,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
6170184349d4066ee2c2f0b1,60e43d16eb3536f1618652fb,APPROVED,2021-10-20T13:23:26.473000Z,2021-10-20T14:02:31.559000Z,2021-10-20T14:24:17.514000Z,,2346,84331F77,444,English,37,Male,White,Ireland,Ireland,Ireland,English,No,Unemployed (and job seeking)
617018434dc82d90f5a18128,6109262ae67d0b1d5ae85544,APPROVED,2021-10-20T13:24:29.540000Z,2021-10-20T14:01:01.736000Z,2021-10-20T14:24:26.258000Z,,2193,84331F77,225,"English, Italian",27,Female,White,Italy,Italy,Italy,Italian,Yes,Unemployed (and job seeking)
617018436484215d4eba63ee,6140ef8d27499e70e8740918,APPROVED,2021-10-20T13:23:43.653000Z,2021-10-20T13:59:25.842000Z,2021-10-20T14:24:22.922000Z,,2143,84331F77,387,"English, Portuguese",22,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
61701843abd5ccb45375dfe8,61460488fc1bdf4d2c8ce1db,APPROVED,2021-10-20T13:24:01.394000Z,2021-10-20T14:00:40.368000Z,2021-10-20T14:24:25.501000Z,,2199,84331F77,211,"English, Portuguese, Spanish",26,Male,White,Portugal,Portugal,Portugal,English,No,Full-Time
61701843bd28762327d548ce,60fcd9d6041972c60a72b7fb,APPROVED,2021-10-20T13:23:55.279000Z,2021-10-20T13:58:41.262000Z,2021-10-20T14:24:24.724000Z,,2086,84331F77,489,English,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6170184426a42d5b72d5dec6,604b169fe4b7991ec08da3a6,APPROVED,2021-10-20T13:23:16.746000Z,2021-10-20T13:59:49.431000Z,2021-10-20T14:24:01.792000Z,,2193,84331F77,1798,"English, German",32,Male,White,Russian Federation,Germany,Germany,German,No,Full-Time
617018444b67c0996119b61c,570157c6917228000d8d4b6a,APPROVED,2021-10-20T13:23:16.906000Z,2021-10-20T14:00:34.577000Z,2021-10-20T14:24:02.667000Z,,2238,84331F77,800,English,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6170184485ab583350b33e8f,615d4ad2a973000eb503abe1,APPROVED,2021-10-20T13:23:41.413000Z,2021-10-20T14:02:42.876000Z,2021-10-20T14:24:21.420000Z,,2342,84331F77,442,English,20,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
61701844abd5ccb45375dfe9,57de9b670cb6700001dd7c9f,APPROVED,2021-10-20T13:23:16.162000Z,2021-10-20T13:58:42.838000Z,2021-10-20T14:23:58.210000Z,,2127,84331F77,1609,"English, Malay, Chinese, German, Hindi",64,Female,Asian,Singapore,United Kingdom,United Kingdom,English,No,Full-Time
61701844bbf61d2ab17f553b,5dc3485219ca0326027ce91f,APPROVED,2021-10-20T13:23:16.488000Z,2021-10-20T14:02:39.211000Z,2021-10-20T14:24:00.710000Z,,2363,84331F77,827,"Italian, English",26,Female,White,Italy,Italy,Italy,Italian,No,Full-Time
617018453014c38e2a53cf61,5c55b95b91c0ad0001cf86ab,APPROVED,2021-10-20T13:23:22.603000Z,2021-10-20T13:59:57.553000Z,2021-10-20T14:24:11.337000Z,,2195,84331F77,3044,English,47,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6170184553e94741ca191d30,5be1f07a16fe17000106bcd1,APPROVED,2021-10-20T13:23:17.235000Z,2021-10-20T14:01:58.861000Z,2021-10-20T14:24:04.571000Z,,2322,84331F77,233,"English, Portuguese",20,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
617018456484215d4eba63ef,60bb404e01d599dfb1c3d71c,APPROVED,2021-10-20T13:23:17.057000Z,2021-10-20T14:02:54.248000Z,2021-10-20T14:24:03.377000Z,,2378,84331F77,1242,English,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
617018456d48945543ce6637,5fd8d828c853592bc565d160,APPROVED,2021-10-20T13:23:17.938000Z,2021-10-20T14:02:33.175000Z,2021-10-20T14:24:07.479000Z,,2356,84331F77,335,"English, Indonesian, Japanese",24,Male,Asian,Indonesia,Germany,Indonesia,Indonesian,Yes,Unemployed (and job seeking)
6170184576f6d607f348a762,60e052e35d0658f5716b1d19,APPROVED,2021-10-20T13:23:54.451000Z,2021-10-20T14:02:31.947000Z,2021-10-20T14:24:23.719000Z,,2318,84331F77,316,"English, Greek, Swedish",24,Male,White,Greece,Greece,Greece,Greek,Yes,Unemployed (and job seeking)
61701845909187e878a0c90b,5c6c08c5d9c1580001ce9aab,APPROVED,2021-10-20T13:23:22.654000Z,2021-10-20T13:59:03.253000Z,2021-10-20T14:24:12.178000Z,,2141,84331F77,1650,English,43,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6170184591dc10eac2cb5ecb,608bfa04767191aa4d57bfd8,APPROVED,2021-10-20T13:23:17.503000Z,2021-10-20T14:02:51.213000Z,2021-10-20T14:24:05.531000Z,,2374,84331F77,4006,English,40,Female,White,United States,United States,United States,English,No,Full-Time
617018462a51e7fb0c54a966,6136cf83be527a683b8c0b95,APPROVED,2021-10-20T13:23:18.566000Z,2021-10-20T14:00:54.758000Z,2021-10-20T14:24:09.532000Z,,2257,84331F77,210,"Portuguese, English",20,Male,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
61701846cefe355d72d33c3e,5f887f9b603e63016f9a053c,APPROVED,2021-10-20T13:23:18.525000Z,2021-10-20T14:00:52.995000Z,2021-10-20T14:24:08.650000Z,,2255,84331F77,478,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
61701846f66cd5920795fc20,6103ec2bf88328284fd894bc,APPROVED,2021-10-20T13:23:24.180000Z,2021-10-20T13:59:54.254000Z,2021-10-20T14:24:15.702000Z,,2191,84331F77,402,"English, Polish",25,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
61701847342304a986043ada,5e6685e1ffed4c405a4db5d0,APPROVED,2021-10-20T13:23:19.082000Z,2021-10-20T13:59:12.575000Z,2021-10-20T14:24:10.616000Z,,2154,84331F77,4844,"English, Spanish",28,Male,White,United States,United States,United States,Spanish,No,Full-Time
61701f64d4c714531ad1a141,5d67b6d92b7448000173d95a,RETURNED,2021-10-20T13:53:43.690000Z,2021-10-20T13:55:36.795000Z,,,,NOCODE,917,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
