Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63beab7a375ac57184366f18,609e5ee2411558f6ee4cc7d7,APPROVED,2023-01-11T12:28:42.552000Z,2023-01-11T12:56:14.922000Z,2023-01-11T13:17:04.804000,2023-01-11T12:56:15.312263Z,1653,377F04C1,142,22,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Part-Time
63beab838bca2e33c4eb6ab9,5ff4cd8b8fd71dc5b3de5c02,APPROVED,2023-01-11T12:28:51.018000Z,2023-01-11T12:55:36.848000Z,2023-01-11T13:17:06.373000,2023-01-11T12:55:37.229589Z,1606,377F04C1,125,22,Male,White,Latvia,Latvia,Latvia,Latvian,Yes,Full-Time
63beab86292376dcccb2dbb9,5e62ca4538141f030869529f,APPROVED,2023-01-11T12:28:54.189000Z,2023-01-11T13:05:01.856000Z,2023-01-11T13:17:11.106000,2023-01-11T13:05:02.285662Z,2168,377F04C1,39,25,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
63beab89bf6b60025c5dce95,60f9ef0a97afea0f13bd809d,APPROVED,2023-01-11T12:28:57.537000Z,2023-01-11T13:13:50.417000Z,2023-01-11T13:17:13.616000,2023-01-11T13:13:50.852237Z,2693,377F04C1,44,20,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
63beab90a537db4be74ff101,6133c695f3c1469136aad4ce,APPROVED,2023-01-11T12:29:28.137000Z,2023-01-11T13:07:17.048000Z,2023-02-01T00:00:47.601000,2023-01-11T13:07:17.435878Z,2269,NOCODE,197,25,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
63beab9b46b8fb14f9ea4bdd,612cb8236aa1cef2599e6f59,APPROVED,2023-01-11T12:29:15.622000Z,2023-01-11T13:07:27.927000Z,2023-01-11T13:17:15.469000,2023-01-11T13:07:28.375276Z,2293,377F04C1,184,27,Male,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
63beab9edd6138b4987c1273,614ee8ddba7641d7696ab82a,APPROVED,2023-01-11T12:29:35.636000Z,2023-01-11T13:08:26.427000Z,2023-01-11T13:17:25.062000,2023-01-11T13:08:26.859354Z,2331,377F04C1,151,26,Female,Mixed,South Africa,South Africa,South Africa,Afrikaans,Yes,Full-Time
63beabc277d06db2b38e19f4,60c1c8ade4bb1ec24514a4d5,APPROVED,2023-01-11T12:29:54.989000Z,2023-01-11T13:05:08.470000Z,2023-01-11T13:17:26.535000,2023-01-11T13:05:09.238594Z,2114,377F04C1,102,27,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
63bec0e783a319cc62e19213,60a3a03bc01ba594c9cca88d,APPROVED,2023-01-11T14:00:10.122000Z,2023-01-11T14:36:51.228000Z,2023-01-12T16:39:10.824000,2023-01-11T14:36:51.660352Z,2202,377F04C1,224,30,Female,Black,South Africa,South Africa,South Africa,English,No,Part-Time
63bec0e7d9318b873d325413,613a469755c08ab3b9d682ad,APPROVED,2023-01-11T14:09:39.758000Z,2023-01-11T15:04:32.450000Z,2023-01-12T16:39:13.992000,2023-01-11T15:04:33.062548Z,3293,377F04C1,510,26,Female,Mixed,Mexico,Mexico,Mexico,Spanish,No,Full-Time
