Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
62c5a443c220064c6cc98e95,6164b9e5d7dd59233b570c51,APPROVED,2022-07-06T15:03:31.962000Z,2022-07-06T15:28:16.054000Z,2022-07-06T16:05:22.705000Z,,1485,NOCODE,163,21,Female,White,Portugal,Netherlands,Portugal,Portuguese,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
62c5a45df6c0cb80e2175ab6,6155d0cafa46f83b2716f453,APPROVED,2022-07-06T15:03:57.527000Z,2022-07-06T15:48:59.167000Z,2022-07-06T16:05:22.381000Z,,2702,377F04C1,132,21,Male,Black,Zimbabwe,South Africa,Zimbabwe,English,DATA_EXPIRED,DATA_EXPIRED
62c5a45f3b015e21d998d96b,5f31671e69023f000b0c0547,APPROVED,2022-07-06T15:05:14.302000Z,2022-07-06T15:26:42.533000Z,2022-07-06T16:05:20.295000Z,,1289,377F04C1,196,24,Male,White,Moldova,Italy,Italy,Romanian,DATA_EXPIRED,DATA_EXPIRED
62c5a461874c7175517d3ee8,615ddbb6663eca2e59404f0d,APPROVED,2022-07-06T15:04:11.942000Z,2022-07-06T15:33:08.913000Z,2022-07-06T16:05:21.245000Z,,1737,377F04C1,179,29,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
62c7ff6ac2d7ec9667011e85,613c7f972e67021c3fe9fd40,APPROVED,2022-07-08T09:56:58.994000Z,2022-07-08T10:38:30.715000Z,2022-07-08T10:40:30.732000Z,,2492,377F04C1,273,31,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
62c7ff8a43f5b92653511957,5c6eb56e1218960001b5e19c,APPROVED,2022-07-08T09:57:30.861000Z,2022-07-08T10:44:46.894000Z,2022-07-08T10:45:39.988000Z,,2837,377F04C1,456,22,Male,White,Finland,Finland,Finland,Finnish,Yes,DATA_EXPIRED
62c7ffa319d74e7b02114509,5ae3003bca00550001e4a4b7,APPROVED,2022-07-08T09:57:55.334000Z,2022-07-08T10:19:19.635000Z,2022-07-08T10:19:46.213000Z,,1285,NOCODE,1265,37,Male,White,Italy,Italy,Italy,Italian,DATA_EXPIRED,DATA_EXPIRED
62c7ffc93bd4d01a7e3b9ead,5e2cf87d49436731eac78e46,RETURNED,2022-07-08T09:58:33.699000Z,2022-07-08T09:59:04.280000Z,,,,NOCODE,486,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
62c80d253b9938d20513945b,5f7c41f542eebd02c85a59ea,APPROVED,2022-07-08T10:55:37.324000Z,2022-07-08T11:17:59.590000Z,2022-07-13T12:24:42.806000Z,,1343,377F04C1,351,26,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
62c80d2d80545dd5142cfdfc,5c6d2d18a2b39a00016916bd,APPROVED,2022-07-08T10:55:45.251000Z,2022-07-08T11:19:15.674000Z,2022-07-13T12:24:41.806000Z,,1411,377F04C1,578,50,Male,White,Switzerland,Portugal,Portugal,Portuguese,No,Full-Time
62c80d2e8607606a60fdfcd2,5f1bdb63a6090e409f79005d,APPROVED,2022-07-08T10:55:42.697000Z,2022-07-08T11:32:46.617000Z,2022-07-13T12:24:42.535000Z,,2224,377F04C1,671,33,Female,Black,Zimbabwe,United Kingdom,Zimbabwe,English,No,Full-Time
62c80d338b73b2d462ce3854,61294d788828c0adad40d8cf,APPROVED,2022-07-08T10:55:53.328000Z,2022-07-08T11:27:40.116000Z,2022-07-13T12:24:39.092000Z,,1907,377F04C1,76,24,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
62c80d35eb89265d807b8873,615af3dba5d55e14ea6bdeda,APPROVED,2022-07-08T10:56:04.717000Z,2022-07-08T11:30:21.241000Z,2022-07-13T12:24:36.901000Z,,2057,377F04C1,169,26,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
62c80d43c0beacf20605f3e9,61154503002b93af22a9353d,APPROVED,2022-07-08T10:56:03.575000Z,2022-07-08T11:33:27.157000Z,2022-07-13T12:24:37.920000Z,,2244,377F04C1,204,26,Male,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
62c80d50a7603be40b25c901,614481e7ad11ff8d87ca2ead,APPROVED,2022-07-08T10:56:16.993000Z,2022-07-08T11:20:06.045000Z,2022-07-13T12:24:35.867000Z,,1430,377F04C1,322,39,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
62c80d578832c6f16f011e6a,5f4cc45ee974b18dbf4a503d,APPROVED,2022-07-08T10:56:30.291000Z,2022-07-08T11:28:10.434000Z,2022-07-13T12:24:31.633000Z,,1901,377F04C1,606,35,Male,White,South Africa,South Africa,South Africa,English,No,Full-Time
