session,is_bot,prolific_id,id_in_session,id_in_group,multiplier,disclose,disclose_experimenter,contribution,rt1,rt2,payoff,total,round_number,individual_share,total_contribution,group_id
jwexunmb,0,5cc5af95ce735c0017908790,1,1,2.5,0,1,10,5845,21171,20.0,20.0,1,20.0,40.0,546
jwexunmb,0,6083f1a1c244e05d9105bae6,2,1,1.5,0,1,5,8893,15520,14.0,14.0,1,9.0,18.0,558
jwexunmb,0,60957475f7b6d2a2ec5c60a3,3,2,1.5,0,0,10,16151,11087,10.5,10.5,1,10.5,21.0,557
jwexunmb,0,5fae68d5b74c182cacbe5d6a,4,1,2.5,0,0,10,10226,9365,16.25,16.25,1,16.25,32.5,542
jwexunmb,0,5f6e4795536d16361a5119b5,5,2,1.5,1,1,10,4259,6168,10.5,10.5,1,10.5,21.0,555
jwexunmb,0,5f2448855226b0000a8129e1,6,2,2.5,0,0,10,14204,11408,12.5,12.5,1,12.5,25.0,547
jwexunmb,0,5d0aa9aa5047d20018b8490d,7,2,1.5,0,1,6,5612,12157,11.0,11.0,1,7.0,14.0,541
jwexunmb,0,602fb33786b077cdbad2d5bb,8,1,2.5,1,1,5,24795,14017,17.5,17.5,1,12.5,25.0,550
jwexunmb,0,5cb6d6608f7ee10016e5abd7,9,2,2.5,0,1,5,5250,14353,17.5,17.5,1,12.5,25.0,550
jwexunmb,0,5cd1bdedf2156c00013b0152,10,2,1.5,0,0,5,13804,11506,21.25,21.25,1,16.25,32.5,542
jwexunmb,0,5f89cbc45b38f5016101011c,11,1,1.5,0,1,5,9657,13012,11.0,11.0,1,6.0,12.0,553
jwexunmb,0,60147ed73045234d08a3a35d,12,1,2.5,1,1,10,4858,9247,16.25,16.25,1,16.25,32.5,545
jwexunmb,0,601d8755bc36890e34c83999,13,1,2.5,0,1,10,20012,19271,17.5,17.5,1,17.5,35.0,552
jwexunmb,0,5f5159f9e0375838294da699,14,2,1.5,1,1,10,12514,10075,9.0,9.0,1,9.0,18.0,554
jwexunmb,0,5ffc3db4e2e31f000895b073,15,2,1.5,1,1,5,21702,12802,21.25,21.25,1,16.25,32.5,545
jwexunmb,0,5f9c236b484eba05eef4145e,16,1,1.5,0,0,4,8021,8273,16.5,16.5,1,10.5,21.0,557
jwexunmb,0,5e2f448d3d8aa150310b677b,17,1,2.5,0,0,5,15192,14957,17.25,17.25,1,12.25,24.5,543
jwexunmb,0,606389edd44e23139eeecd82,18,2,1.5,1,1,5,13100,12567,12.5,12.5,1,7.5,15.0,556
jwexunmb,0,5c2fcd716ea6880001dc8e3d,19,2,2.5,1,1,4,8275,7193,23.5,23.5,1,17.5,35.0,552
jwexunmb,0,5ca52d313d3ff5001589059c,20,2,1.5,0,1,3,6522,12162,13.0,13.0,1,6.0,12.0,553
jwexunmb,0,605d06581b5591e8199036b5,21,1,2.5,1,1,2,4494,7672,15.0,15.0,1,7.0,14.0,541
