session,is_bot,prolific_id,id_in_session,id_in_group,multiplier,disclose,contribution,rt1,rt2,payoff,total,round_number,individual_share,total_contribution,group_id
85jbdx27,0,5d6806076c4ad800017c1ac2,1,1,1.2,1,10,6596,11115,9.6,9.6,1,9.6,19.2,364
85jbdx27,1,60a51ab2ae82da9cb994cea1,2,2,0.8,0,8,7916,12206,11.2,11.2,1,9.2,18.4,361
85jbdx27,0,5ec14b142a92684125500c16,3,1,1.2,1,10,5537,8036,9.2,9.2,1,9.2,18.4,361
85jbdx27,1,5e29dcdf1654ed023e89cc6a,4,1,1.2,0,6,-1,-1,9.4,9.4,1,5.4,10.799999999999999,363
85jbdx27,1,5b9bb0fde43a4800019b52b5,5,2,0.8,1,6,-1,-1,8.0,8.0,1,4.0,8.0,366
85jbdx27,0,5e1099ef265c8076ecd0bae4,6,1,0.8,1,6,7700,15873,8.4,8.4,1,4.4,8.8,365
85jbdx27,0,60a5181a8b36c8764b25abe9,7,1,1.2,1,8,8618,15485,8.0,8.0,1,6.0,12.0,362
85jbdx27,0,606095d107dfdd1a5c4f4f35,8,2,0.8,0,3,11584,14971,13.0,13.0,1,6.0,12.0,362
85jbdx27,1,608d90a4dc43021936de77fb,9,2,1.2,1,3,15482,7507,12.4,12.4,1,5.4,10.799999999999999,363
85jbdx27,1,60296c439516738aa83c493d,10,2,1.2,0,6,-1,-1,13.6,13.6,1,9.6,19.2,364
85jbdx27,0,5cfc3dfaceb2d50019394664,11,1,0.8,0,4,8534,11200,10.0,10.0,1,4.0,8.0,366
85jbdx27,0,60a2801836ad04a555c85af6,12,2,0.8,0,5,10541,13722,9.4,9.4,1,4.4,8.8,365
85jbdx27,0,5d6806076c4ad800017c1ac2,1,1,1.2,1,10,5620,4644,9.0,18.6,2,9.0,18.0,369
85jbdx27,1,60a51ab2ae82da9cb994cea1,2,1,0.8,1,10,9966,7350,8.0,19.2,2,8.0,16.0,372
85jbdx27,0,5ec14b142a92684125500c16,3,2,1.2,0,5,4779,11786,14.0,23.2,2,9.0,18.0,369
85jbdx27,1,5e29dcdf1654ed023e89cc6a,4,1,1.2,1,6,-1,-1,8.8,18.2,2,4.8,9.6,368
85jbdx27,1,5b9bb0fde43a4800019b52b5,5,2,0.8,1,7,-1,-1,8.8,43.0,2,5.8,11.600000000000001,367
85jbdx27,0,5e1099ef265c8076ecd0bae4,6,2,0.8,0,2,6980,7242,10.0,18.4,2,2.0,4.0,371
85jbdx27,0,60a5181a8b36c8764b25abe9,7,2,1.2,0,5,9103,11517,11.6,19.6,2,6.6,13.2,370
85jbdx27,0,606095d107dfdd1a5c4f4f35,8,2,0.8,0,10,9189,10765,8.0,21.0,2,8.0,16.0,372
85jbdx27,1,608d90a4dc43021936de77fb,9,1,1.2,0,5,16664,132475,10.8,29.6,2,5.8,11.600000000000001,367
85jbdx27,1,60296c439516738aa83c493d,10,1,1.2,1,6,-1,-1,10.6,24.2,2,6.6,13.2,370
85jbdx27,0,5cfc3dfaceb2d50019394664,11,2,0.8,1,3,2900,7189,11.8,21.8,2,4.8,9.6,368
85jbdx27,0,60a2801836ad04a555c85af6,12,1,0.8,0,3,8574,8490,9.0,18.4,2,2.0,4.0,371
85jbdx27,0,5d6806076c4ad800017c1ac2,1,1,1.2,0,1,8107,14041,12.0,30.6,3,3.0,6.000000000000001,374
85jbdx27,1,60a51ab2ae82da9cb994cea1,2,1,0.8,0,0,7829,10794,12.4,31.6,3,2.4,4.800000000000001,377
85jbdx27,0,5ec14b142a92684125500c16,3,2,1.2,0,5,7243,4257,11.6,34.8,3,6.6,13.2,375
85jbdx27,1,5e29dcdf1654ed023e89cc6a,4,1,1.2,0,6,-1,-1,10.6,28.8,3,6.6,13.2,375
85jbdx27,1,5b9bb0fde43a4800019b52b5,5,2,0.8,0,6,-1,-1,6.4,14.4,3,2.4,4.800000000000001,377
85jbdx27,0,5e1099ef265c8076ecd0bae4,6,2,0.8,0,10,6567,3948,7.6,26.0,3,7.6,15.2,373
85jbdx27,0,60a5181a8b36c8764b25abe9,7,1,1.2,0,7,5470,9832,10.8,30.4,3,7.8,15.6,376
85jbdx27,0,606095d107dfdd1a5c4f4f35,8,1,0.8,1,5,4508,9943,8.6,29.6,3,3.6,7.2,378
85jbdx27,1,608d90a4dc43021936de77fb,9,2,1.2,1,6,-1,-1,11.8,24.2,3,7.8,15.6,376
85jbdx27,1,60296c439516738aa83c493d,10,1,1.2,1,6,-1,-1,11.6,35.8,3,7.6,15.2,373
85jbdx27,0,5cfc3dfaceb2d50019394664,11,2,0.8,1,6,2294,4163,7.0,28.8,3,3.0,6.000000000000001,374
85jbdx27,0,60a2801836ad04a555c85af6,12,2,0.8,0,4,6956,8052,9.6,28.0,3,3.6,7.2,378
85jbdx27,0,5d6806076c4ad800017c1ac2,1,1,1.2,1,6,10800,2777,9.6,9.6,4,5.6,11.2,379
85jbdx27,1,60a51ab2ae82da9cb994cea1,2,2,0.8,-1,-1,-1,-1,-1.0,0.0,4,-1.0,-1.0,380
85jbdx27,0,5ec14b142a92684125500c16,3,1,1.2,1,5,10112,4379,11.0,11.0,4,6.0,12.0,382
85jbdx27,1,5e29dcdf1654ed023e89cc6a,4,2,1.2,0,5,-1,-1,11.0,11.0,4,6.0,12.0,382
85jbdx27,1,5b9bb0fde43a4800019b52b5,5,2,0.8,0,5,-1,-1,8.6,8.6,4,3.6,7.2,384
85jbdx27,0,5e1099ef265c8076ecd0bae4,6,1,0.8,0,4,8530,9607,9.6,9.6,4,3.6,7.2,384
85jbdx27,0,60a5181a8b36c8764b25abe9,7,2,1.2,0,6,9878,7119,10.6,10.6,4,6.6,13.2,381
85jbdx27,0,606095d107dfdd1a5c4f4f35,8,2,0.8,1,5,7505,9418,7.8,7.8,4,2.8,5.6,383
85jbdx27,1,608d90a4dc43021936de77fb,9,1,1.2,-1,-1,-1,-1,-1.0,0.0,4,-1.0,-1.0,380
85jbdx27,1,60296c439516738aa83c493d,10,1,1.2,0,5,-1,-1,11.6,11.6,4,6.6,13.2,381
85jbdx27,0,5cfc3dfaceb2d50019394664,11,2,0.8,0,5,8472,6701,10.6,10.6,4,5.6,11.2,379
85jbdx27,0,60a2801836ad04a555c85af6,12,1,0.8,0,2,8112,5671,10.8,10.8,4,2.8,5.6,383
85jbdx27,0,5d6806076c4ad800017c1ac2,1,2,1.2,1,5,7552,6997,12.8,22.4,5,7.8,15.6,387
85jbdx27,1,60a51ab2ae82da9cb994cea1,2,2,0.8,0,5,-1,-1,10.0,10.0,5,5.0,10.0,385
85jbdx27,0,5ec14b142a92684125500c16,3,1,1.2,0,5,4995,2807,10.0,21.0,5,5.0,10.0,385
85jbdx27,1,5e29dcdf1654ed023e89cc6a,4,1,1.2,-1,-1,-1,-1,-1.0,0.0,5,-1.0,-1.0,388
85jbdx27,1,5b9bb0fde43a4800019b52b5,5,1,0.8,0,5,-1,-1,8.6,17.2,5,3.6,7.2,390
85jbdx27,0,5e1099ef265c8076ecd0bae4,6,2,0.8,1,6,6728,14769,8.4,18.0,5,4.4,8.8,389
85jbdx27,0,60a5181a8b36c8764b25abe9,7,1,1.2,1,8,4740,8637,9.8,20.4,5,7.8,15.6,387
85jbdx27,0,606095d107dfdd1a5c4f4f35,8,1,0.8,1,5,5680,7356,9.4,17.2,5,4.4,8.8,389
85jbdx27,1,608d90a4dc43021936de77fb,9,1,1.2,1,5,-1,-1,10.4,10.4,5,5.4,10.8,386
85jbdx27,1,60296c439516738aa83c493d,10,2,1.2,-1,-1,-1,-1,-1.0,0.0,5,-1.0,-1.0,388
85jbdx27,0,5cfc3dfaceb2d50019394664,11,2,0.8,1,6,4451,6140,9.4,20.0,5,5.4,10.8,386
85jbdx27,0,60a2801836ad04a555c85af6,12,2,0.8,0,4,5987,4403,9.6,20.4,5,3.6,7.2,390
