session,is_bot,prolific_id,id_in_session,idx,round_number,multiplier,disclose,contribution,rt1,rt2,reward,payoff,total,individual_share,opp_multiplier,opp_disclose,opp_p_disclose,opp_contribution,opp_payoff,total_contribution
7x5f1o1h,0,5f7c41f542eebd02c85a59ea,1,0,1,1.5,1,10,8147,5382,20.0,20.0,20.0,20.0,2.5,0,0.5,10,20.0,40.0
7x5f1o1h,0,5c6d2d18a2b39a00016916bd,2,1,1,1.5,1,5,7191,7116,21.0,21.0,21.0,16.0,2.5,0,0.5,10,16.0,32.5
7x5f1o1h,0,61294d788828c0adad40d8cf,3,2,1,1.5,0,5,6202,8973,9.0,9.0,9.0,4.0,1.5,1,0.5,0,14.0,7.5
7x5f1o1h,1,6159e587cc01e08668d4d7bd,4,3,1,1.5,0,1,8397,11803,22.0,22.0,22.0,13.0,2.5,0,0.5,10,13.0,26.5
7x5f1o1h,0,5f1bdb63a6090e409f79005d,5,4,1,1.5,1,10,6484,8756,20.0,20.0,20.0,20.0,2.5,0,0.5,10,20.0,40.0
7x5f1o1h,0,61154503002b93af22a9353d,6,5,1,1.5,1,4,6525,8236,22.0,22.0,22.0,16.0,2.5,0,0.5,10,16.0,31.0
7x5f1o1h,0,615af3dba5d55e14ea6bdeda,7,6,1,1.5,1,5,7502,9564,9.0,9.0,9.0,4.0,1.5,1,0.5,0,14.0,7.5
7x5f1o1h,0,614481e7ad11ff8d87ca2ead,8,7,1,1.5,0,5,6912,4255,9.0,9.0,9.0,4.0,1.5,1,0.5,0,14.0,7.5
7x5f1o1h,0,6108033c1bf591fee2013a07,9,8,1,1.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
7x5f1o1h,0,5ea94cd32998a7034eaabdf5,10,9,1,1.5,1,10,5864,11921,20.0,20.0,20.0,20.0,2.5,1,0.5,10,20.0,40.0
7x5f1o1h,0,5f4cc45ee974b18dbf4a503d,11,10,1,1.5,0,4,8155,9206,16.0,16.0,16.0,10.0,1.5,0,0.5,10,10.0,21.0
7x5f1o1h,0,62c53f664da5cdfd9ec3668a,12,11,1,1.5,0,3,21800,11858,22.0,22.0,22.0,15.0,2.5,0,0.5,10,15.0,29.5
7x5f1o1h,0,5f4595ac82d8061b45c2c490,13,12,1,1.5,1,5,9348,7068,21.0,21.0,21.0,16.0,2.5,0,0.5,10,16.0,32.5
7x5f1o1h,0,53a18b8ffdf99b79ca51df6e,14,13,1,1.5,1,6,7285,4233,21.0,21.0,21.0,17.0,2.5,0,0.5,10,17.0,34.0
7x5f1o1h,0,60ad073b7528565cc4c97c55,15,14,1,1.5,1,7,6000,6605,21.0,21.0,21.0,18.0,2.5,0,0.5,10,18.0,35.5
7x5f1o1h,0,62aa3f6be69568c00d1caf30,16,15,1,1.5,0,5,10428,10970,21.0,21.0,21.0,16.0,2.5,0,0.5,10,16.0,32.5
7x5f1o1h,0,61164af5d35616bf4e9f3255,17,16,1,1.5,1,8,12183,9957,16.0,16.0,16.0,14.0,1.5,1,0.5,10,14.0,27.0
7x5f1o1h,0,5db08f3435ef75001ae287d6,18,17,1,1.5,1,2,12104,16510,17.0,17.0,17.0,9.0,1.5,0,0.5,10,9.0,18.0
7x5f1o1h,0,5b8d7d77b1b22d00017e2daf,19,18,1,1.5,1,7,7981,6341,8.0,8.0,8.0,5.0,1.5,0,0.5,0,15.0,10.5
7x5f1o1h,1,5ecae23b40dae00008174c32,20,19,1,1.5,1,5,6735,14786,9.0,9.0,9.0,4.0,1.5,1,0.5,0,14.0,7.5
7x5f1o1h,0,5c3476a2f5ebd50001841284,21,20,1,1.5,1,10,5106,6361,20.0,20.0,20.0,20.0,2.5,1,0.5,10,20.0,40.0
7x5f1o1h,0,5ede13094e77400127b0d8ac,22,21,1,1.5,1,10,4101,8124,8.0,8.0,8.0,8.0,1.5,1,0.5,0,18.0,15.0
7x5f1o1h,0,5a94fef289de8200013ecc4d,23,22,1,1.5,1,5,7720,13178,9.0,9.0,9.0,4.0,1.5,0,0.5,0,14.0,7.5
7x5f1o1h,1,615e9afb5721e52103cdfb4d,24,23,1,1.5,1,5,5715,13805,21.0,21.0,21.0,16.0,2.5,1,0.5,10,16.0,32.5
7x5f1o1h,0,595398234d56070001645fd9,25,24,1,1.5,1,2,4037,11970,22.0,22.0,22.0,14.0,2.5,1,0.5,10,14.0,28.0
7x5f1o1h,0,62b5d90d09660072824f68cf,26,25,1,1.5,1,5,6955,8350,21.0,21.0,21.0,16.0,2.5,1,0.5,10,16.0,32.5
7x5f1o1h,0,5dfc01544a2ad4918e665575,27,26,1,1.5,1,6,8381,12956,8.0,8.0,8.0,4.0,1.5,1,0.5,0,14.0,9.0
7x5f1o1h,0,616151ac0c7dd4d85b3ca749,28,27,1,1.5,0,10,12817,23236,15.0,15.0,15.0,15.0,1.5,1,0.5,10,15.0,30.0
7x5f1o1h,0,5d6558fa16871700012ea47b,29,28,1,1.5,0,1,23423,31677,22.0,22.0,22.0,13.0,2.5,1,0.5,10,13.0,26.5
7x5f1o1h,0,604541676af7216614098dde,30,29,1,1.5,0,10,10033,3895,20.0,20.0,20.0,20.0,2.5,0,0.5,10,20.0,40.0
7x5f1o1h,0,62029c60ef1cb18a1337c9d4,31,30,1,2.5,1,5,6391,7679,24.0,24.0,24.0,19.0,2.5,0,0.5,10,19.0,37.5
7x5f1o1h,0,60feca537ed1de34c8ddbbab,32,31,1,2.5,0,5,6645,9149,24.0,24.0,24.0,19.0,2.5,0,0.5,10,19.0,37.5
7x5f1o1h,0,5c993969c6d15000019bbc4f,33,32,1,2.5,0,4,6308,8026,11.0,11.0,11.0,5.0,1.5,0,0.5,0,15.0,10.0
7x5f1o1h,0,613a4bd540839f21d8f12e99,34,33,1,2.5,1,10,4082,6090,25.0,25.0,25.0,25.0,2.5,1,0.5,10,25.0,50.0
7x5f1o1h,0,595ceea8dd044900012ce64a,35,34,1,2.5,0,4,17458,24606,24.0,24.0,24.0,18.0,2.5,0,0.5,10,18.0,35.0
7x5f1o1h,0,60e580ac2b617df6311e8462,36,35,1,2.5,0,0,9231,23466,22.0,22.0,22.0,12.0,2.5,0,0.5,10,12.0,25.0
7x5f1o1h,0,5a70b6b882968f0001a6b12f,37,36,1,2.5,0,7,46024,57253,12.0,12.0,12.0,9.0,1.5,1,0.5,0,19.0,17.5
7x5f1o1h,0,5ce740c8636a5b0018f55968,38,37,1,2.5,0,4,11969,21691,18.0,18.0,18.0,12.0,1.5,1,0.5,10,12.0,25.0
7x5f1o1h,0,5875778b5c17910001ea4f35,39,38,1,2.5,1,10,6489,6487,25.0,25.0,25.0,25.0,2.5,0,0.5,10,25.0,50.0
7x5f1o1h,0,5db09b3a9611830016dd495b,40,39,1,2.5,1,6,4473,8091,24.0,24.0,24.0,20.0,2.5,0,0.5,10,20.0,40.0
7x5f1o1h,0,5cf10c50968101001aee96c9,41,40,1,2.5,0,2,4592,5340,23.0,23.0,23.0,15.0,2.5,0,0.5,10,15.0,30.0
7x5f1o1h,0,5d6675a922899800015a0293,42,41,1,2.5,1,5,7439,11798,24.0,24.0,24.0,19.0,2.5,1,0.5,10,19.0,37.5
7x5f1o1h,0,5ea8c40504081a31ebd22b41,43,42,1,2.5,0,1,10867,7600,18.0,18.0,18.0,9.0,1.5,1,0.5,10,9.0,17.5
7x5f1o1h,0,58a9acb966e4640001c53a7f,44,43,1,2.5,1,10,5494,5031,20.0,20.0,20.0,20.0,1.5,0,0.5,10,20.0,40.0
7x5f1o1h,0,5a5e82e4acc75b00017a9d8d,45,44,1,2.5,0,8,9172,10416,20.0,20.0,20.0,18.0,1.5,0,0.5,10,18.0,35.0
7x5f1o1h,0,58713c5e58ca4c00018ce3ea,46,45,1,2.5,1,10,5794,7544,12.0,12.0,12.0,12.0,1.5,1,0.5,0,22.0,25.0
7x5f1o1h,1,60eefc637c43864099be023a,47,46,1,2.5,1,8,4602,10831,12.0,12.0,12.0,10.0,1.5,1,0.5,0,20.0,20.0
7x5f1o1h,0,610a8af31b841b99215dc6db,48,47,1,2.5,1,5,5534,11829,19.0,19.0,19.0,14.0,1.5,0,0.5,10,14.0,27.5
7x5f1o1h,0,5baca9c4bf876e000149b586,49,48,1,2.5,0,10,6771,13429,25.0,25.0,25.0,25.0,2.5,1,0.5,10,25.0,50.0
7x5f1o1h,0,5e1cd50a42998a05fbae9937,50,49,1,2.5,0,5,9474,6579,11.0,11.0,11.0,6.0,1.5,1,0.5,0,16.0,12.5
7x5f1o1h,0,60b9b66f3b3795d796a82ee6,51,50,1,2.5,1,10,10310,22044,20.0,20.0,20.0,20.0,1.5,1,0.5,10,20.0,40.0
7x5f1o1h,0,6035601b9c8aa0415a0d2883,52,51,1,2.5,1,5,5863,7223,24.0,24.0,24.0,19.0,2.5,1,0.5,10,19.0,37.5
7x5f1o1h,0,5c41e9263be7b70001fcf4ab,53,52,1,2.5,1,3,5937,11463,23.0,23.0,23.0,16.0,2.5,0,0.5,10,16.0,32.5
7x5f1o1h,0,60eea8ebaa61fc4cfc1515ae,54,53,1,2.5,1,10,10593,22155,25.0,25.0,25.0,25.0,2.5,1,0.5,10,25.0,50.0
7x5f1o1h,1,611d3c0008b14433b83af1b5,55,54,1,2.5,0,5,14421,20373,19.0,19.0,19.0,14.0,1.5,1,0.5,10,14.0,27.5
7x5f1o1h,0,5f34cb60fa6cf63ecf31902d,56,55,1,2.5,0,1,24926,11059,23.0,23.0,23.0,14.0,2.5,1,0.5,10,14.0,27.5
