session,is_bot,prolific_id,id_in_session,id_in_group,multiplier,disclose,contribution,rt1,rt2,payoff,total,round_number,individual_share,total_contribution,group_id,disclosure_group
7z3ijibl,1,576597499dcd970001dbdbe5,1,1,2.5,1,2,4280,8128,14.25,14.25,1,6.25,12.5,1085,2
7z3ijibl,0,60a90be1be2d42fba2368523,2,2,2.5,1,10,6104,6119,25.0,25.0,1,25.0,50.0,1087,1
7z3ijibl,1,5ce19c2090d2dc0015f86ca7,3,1,2.5,1,10,4450,5813,25.0,25.0,1,25.0,50.0,1087,2
7z3ijibl,1,5be03bf177e0190001b4ad0a,4,1,2.5,1,10,3995,10758,17.75,17.75,1,17.75,35.5,1081,2
7z3ijibl,0,5fbab1b8266280ad6e6e13c7,5,1,1.5,1,10,19682,5939,7.5,7.5,1,7.5,15.0,1094,1
7z3ijibl,1,581ccd016c73180001fa5b2a,6,1,1.5,1,10,7357,8973,11.25,11.25,1,11.25,22.5,1096,2
7z3ijibl,1,57843b986475d400015a8e45,7,2,1.5,1,5,17627,7459,16.25,16.25,1,11.25,22.5,1098,2
7z3ijibl,1,5eea1be10e95520beb9fa654,8,2,1.5,1,5,10939,9176,8.75,8.75,1,3.75,7.5,1082,2
7z3ijibl,0,5c0873675b32d500012e3f2c,9,2,1.5,1,4,6140,11344,15.0,15.0,1,9.0,18.0,1097,1
7z3ijibl,0,607c8faf6d8e98b09d585eb3,10,1,2.5,0,0,7477,9174,13.75,13.75,1,3.75,7.5,1082,1
7z3ijibl,1,5f5aa7a073b8271a0ab0947c,11,2,2.5,1,10,7798,18351,21.25,21.25,1,21.25,42.5,1092,2
7z3ijibl,0,608c2f0f1df309615f6f5b52,12,1,1.5,1,10,12395,10334,11.25,11.25,1,11.25,22.5,1098,1
7z3ijibl,0,607a981a8b7874690d597c0d,13,2,1.5,0,5,15968,17557,11.25,11.25,1,6.25,12.5,1085,1
7z3ijibl,0,60a1516dc132822469f45c55,14,2,2.5,0,6,14733,15339,14.0,14.0,1,10.0,20.0,1089,1
7z3ijibl,1,6008057b6fbeef0d476b756b,15,1,2.5,0,5,3738,4730,17.25,17.25,1,12.25,24.5,1086,2
7z3ijibl,0,608adf0cc8637f7f395352b1,16,1,1.5,1,8,6343,9270,11.0,11.0,1,9.0,18.0,1097,1
7z3ijibl,1,60199372bd48490e12a0d92e,17,1,2.5,1,9,7002,7326,16.0,16.0,1,15.0,30.0,1084,2
