,Contrast,multiplier,A,B,Paired,Parametric,U-val,alternative,p-unc,p-corr,p-adjust,hedges
0,multiplier,-,1.5,2.5,False,False,552.5,two-sided,0.09149901807484696,,,-0.31640273101647015
1,exp,-,1.0,2.0,False,False,318.0,two-sided,0.7942614054312678,1.0,bonf,0.20576693494489418
2,exp,-,1.0,3.0,False,False,688.0,two-sided,2.3175074260195435e-10,6.952522278058631e-10,bonf,6.42932096266353
3,exp,-,2.0,3.0,False,False,504.0,two-sided,5.0505728389109966e-09,1.515171851673299e-08,bonf,4.963726999394931
4,multiplier * exp,1.5,1.0,2.0,False,False,57.0,two-sided,0.27182951833584557,1.0,bonf,0.0977718738573683
5,multiplier * exp,1.5,1.0,3.0,False,False,195.0,two-sided,5.02770836706095e-06,3.0166250202365698e-05,bonf,7.569368861456364
6,multiplier * exp,1.5,2.0,3.0,False,False,130.0,two-sided,2.9506913021771846e-05,0.00017704147813063108,bonf,5.317501334039185
7,multiplier * exp,2.5,1.0,2.0,False,False,108.0,two-sided,0.24064677973397097,1.0,bonf,0.5114232027578646
8,multiplier * exp,2.5,1.0,3.0,False,False,150.0,two-sided,8.265023699222673e-06,4.9590142195336036e-05,bonf,5.798605420121465
9,multiplier * exp,2.5,2.0,3.0,False,False,120.0,two-sided,5.736829696839158e-05,0.0003442097818103495,bonf,4.538699316317094
