session,is_bot,prolific_id,id_in_session,id_in_group,multiplier,disclose,contribution,rt1,rt2,payoff,total,round_number,individual_share,total_contribution,group_id,disclosure_group
e2f9bodh,0,Bob2,1,1,0.8,0,3,4478,2650,11.0,11.0,1,4.0,8.0,89,1
e2f9bodh,0,Bob7,2,1,1.2,1,8,5238,2898,8.8,8.8,1,6.8,13.6,85,2
e2f9bodh,0,Bob6,3,2,0.8,0,7,4364,2549,7.0,7.0,1,4.0,8.0,89,2
e2f9bodh,0,Bob9,4,2,1.2,1,10,4417,3133,8.4,8.4,1,8.4,16.8,88,2
e2f9bodh,0,Bob4,5,2,0.8,0,5,4848,2202,11.8,11.8,1,6.8,13.6,85,1
e2f9bodh,0,Bob3,6,1,1.2,0,4,4948,2083,14.4,14.4,1,8.4,16.8,88,2
e2f9bodh,0,Bob10,7,1,1.2,0,1,4907,2797,13.2,13.2,1,4.2,8.4,86,1
e2f9bodh,0,Bob11,8,2,1.2,0,2,4381,2428,12.8,12.8,1,4.8,9.6,87,1
e2f9bodh,0,Bob8,9,2,0.8,1,9,4621,2864,5.2,5.2,1,4.2,8.4,86,2
e2f9bodh,0,Bob5,10,1,1.2,0,6,4975,3177,8.8,8.8,1,4.8,9.6,87,2
e2f9bodh,0,Bob0,11,2,0.8,0,1,5220,2322,10.2,10.2,1,1.2,2.4000000000000004,90,1
e2f9bodh,0,Bob1,12,1,0.8,0,2,5239,2856,9.2,9.2,1,1.2,2.4000000000000004,90,1
e2f9bodh,0,Bob2,1,1,0.8,1,3,2626,2210,8.6,19.6,2,1.6,3.2,96,1
e2f9bodh,0,Bob7,2,1,1.2,1,8,2640,2529,10.4,19.2,2,8.4,16.799999999999997,94,2
e2f9bodh,0,Bob6,3,2,0.8,1,2,3249,3044,12.4,19.4,2,4.4,8.8,95,2
e2f9bodh,0,Bob9,4,1,1.2,1,10,2481,2615,6.8,15.2,2,6.8,13.6,92,2
e2f9bodh,0,Bob4,5,2,0.8,0,5,3254,2789,9.4,21.2,2,4.4,8.8,91,1
e2f9bodh,0,Bob3,6,1,1.2,1,4,2925,2330,10.4,24.8,2,4.4,8.8,91,2
e2f9bodh,0,Bob10,7,1,1.2,0,1,3057,2092,10.8,24.0,2,1.8,3.5999999999999996,93,1
e2f9bodh,0,Bob11,8,2,1.2,0,2,2798,3259,9.8,22.6,2,1.8,3.5999999999999996,93,1
e2f9bodh,0,Bob8,9,1,0.8,1,9,2471,2919,5.4,10.6,2,4.4,8.8,95,2
e2f9bodh,0,Bob5,10,2,1.2,1,6,2767,3177,12.4,21.2,2,8.4,16.799999999999997,94,2
e2f9bodh,0,Bob0,11,2,0.8,0,1,2197,2196,10.6,20.8,2,1.6,3.2,96,1
e2f9bodh,0,Bob1,12,2,0.8,0,2,3176,2685,14.8,24.0,2,6.8,13.6,92,1
e2f9bodh,0,Bob2,1,2,0.8,0,3,2721,3096,8.6,28.2,3,1.6,3.2,102,1
e2f9bodh,0,Bob7,2,1,1.2,1,8,2440,2186,10.4,29.6,3,8.4,16.8,98,2
e2f9bodh,0,Bob6,3,1,0.8,0,7,2390,2528,7.8,27.2,3,4.8,9.600000000000001,101,2
e2f9bodh,0,Bob9,4,1,1.2,1,10,2680,2860,7.2,22.4,3,7.2,14.4,100,2
e2f9bodh,0,Bob4,5,2,0.8,0,5,2653,3047,9.8,31.0,3,4.8,9.600000000000001,101,1
e2f9bodh,0,Bob3,6,2,1.2,0,4,2980,2867,9.0,33.8,3,3.0,6.0,99,2
e2f9bodh,0,Bob10,7,1,1.2,0,1,3076,2793,12.0,36.0,3,3.0,6.0,99,1
e2f9bodh,0,Bob11,8,2,1.2,0,2,2449,2748,15.2,37.8,3,7.2,14.4,100,1
e2f9bodh,0,Bob8,9,2,0.8,1,9,2220,2459,9.4,20.0,3,8.4,16.8,98,2
e2f9bodh,0,Bob5,10,1,1.2,0,6,2558,2190,8.4,29.6,3,4.4,8.799999999999999,97,2
e2f9bodh,0,Bob0,11,1,0.8,0,1,2498,2302,10.6,31.4,3,1.6,3.2,102,1
e2f9bodh,0,Bob1,12,2,0.8,0,2,2661,3079,12.4,36.4,3,4.4,8.799999999999999,97,1
e2f9bodh,0,Bob2,1,2,0.8,0,3,2836,2542,8.8,37.0,4,1.8,3.6000000000000005,103,1
e2f9bodh,0,Bob7,2,1,1.2,1,8,2960,2301,12.8,42.4,4,10.8,21.6,106,2
e2f9bodh,0,Bob6,3,1,0.8,1,7,2210,2454,7.8,35.0,4,4.8,9.600000000000001,107,2
e2f9bodh,0,Bob9,4,2,1.2,1,10,3053,2296,10.8,33.2,4,10.8,21.6,106,2
e2f9bodh,0,Bob4,5,2,0.8,0,5,3020,2313,9.8,40.8,4,4.8,9.600000000000001,107,1
e2f9bodh,0,Bob3,6,1,1.2,0,4,2665,2183,12.0,45.8,4,6.0,12.0,105,2
e2f9bodh,0,Bob10,7,1,1.2,0,1,2913,2185,10.8,46.8,4,1.8,3.6000000000000005,103,1
e2f9bodh,0,Bob11,8,1,1.2,0,2,3170,2954,12.8,50.6,4,4.8,9.6,104,1
e2f9bodh,0,Bob8,9,2,0.8,0,9,2804,3113,5.8,25.8,4,4.8,9.6,104,2
e2f9bodh,0,Bob5,10,2,1.2,1,6,3166,2822,10.0,39.6,4,6.0,12.0,105,2
e2f9bodh,0,Bob0,11,2,0.8,0,1,3189,2359,10.2,41.6,4,1.2,2.4000000000000004,108,1
e2f9bodh,0,Bob1,12,1,0.8,0,2,2343,2618,9.2,45.6,4,1.2,2.4000000000000004,108,1
e2f9bodh,0,Bob2,1,1,0.8,0,3,2737,2753,9.0,46.0,5,2.0,4.0,113,1
e2f9bodh,0,Bob7,2,2,1.2,1,8,2567,2755,7.4,49.8,5,5.4,10.799999999999999,111,2
e2f9bodh,0,Bob6,3,2,0.8,0,7,2082,2950,8.2,43.2,5,5.2,10.4,109,2
e2f9bodh,0,Bob9,4,2,1.2,1,10,2681,2812,7.2,40.4,5,7.2,14.4,112,2
e2f9bodh,0,Bob4,5,1,0.8,0,5,2609,2974,10.6,51.4,5,5.6,11.2,114,1
e2f9bodh,0,Bob3,6,1,1.2,0,4,2423,2405,11.2,57.0,5,5.2,10.4,109,2
e2f9bodh,0,Bob10,7,1,1.2,0,1,2677,3246,14.4,61.2,5,5.4,10.799999999999999,111,1
e2f9bodh,0,Bob11,8,1,1.2,0,2,3239,3314,15.2,65.8,5,7.2,14.4,112,1
e2f9bodh,0,Bob8,9,2,0.8,1,9,3188,2974,6.6,32.4,5,5.6,11.2,114,2
e2f9bodh,0,Bob5,10,1,1.2,1,6,2315,2743,8.0,47.6,5,4.0,7.999999999999999,110,2
e2f9bodh,0,Bob0,11,2,0.8,0,1,2670,3117,13.0,54.6,5,4.0,7.999999999999999,110,1
e2f9bodh,0,Bob1,12,2,0.8,0,2,3117,2639,10.0,55.6,5,2.0,4.0,113,1
e2f9bodh,0,Bob2,1,2,0.8,0,3,2564,2459,9.0,55.0,6,2.0,4.0,119,1
e2f9bodh,0,Bob7,2,1,1.2,0,8,2688,2654,7.2,57.0,6,5.2,10.4,115,2
e2f9bodh,0,Bob6,3,1,0.8,0,7,2563,2862,7.8,51.0,6,4.8,9.600000000000001,120,2
e2f9bodh,0,Bob9,4,1,1.2,1,10,3023,2090,9.6,50.0,6,9.6,19.2,116,2
e2f9bodh,0,Bob4,5,2,0.8,0,5,2497,2332,9.8,61.2,6,4.8,9.600000000000001,120,1
e2f9bodh,0,Bob3,6,2,1.2,0,4,3241,3086,12.0,69.0,6,6.0,12.0,118,2
e2f9bodh,0,Bob10,7,1,1.2,0,1,3215,2330,10.8,72.0,6,1.8,3.5999999999999996,117,1
e2f9bodh,0,Bob11,8,2,1.2,0,2,2833,2932,9.8,75.6,6,1.8,3.5999999999999996,117,1
e2f9bodh,0,Bob8,9,2,0.8,1,9,2559,2894,10.6,43.0,6,9.6,19.2,116,2
e2f9bodh,0,Bob5,10,1,1.2,1,6,2771,3031,10.0,57.6,6,6.0,12.0,118,2
e2f9bodh,0,Bob0,11,2,0.8,0,1,2221,2242,14.2,68.8,6,5.2,10.4,115,1
e2f9bodh,0,Bob1,12,1,0.8,0,2,2704,2869,10.0,65.6,6,2.0,4.0,119,1
e2f9bodh,0,Bob2,1,2,0.8,0,3,2186,2652,8.8,63.8,7,1.8,3.6000000000000005,169,1
e2f9bodh,0,Bob7,2,2,1.2,1,8,2163,2318,10.4,67.4,7,8.4,16.8,174,2
e2f9bodh,0,Bob6,3,2,0.8,1,7,2388,2175,8.2,59.2,7,5.2,10.4,173,2
e2f9bodh,0,Bob9,4,1,1.2,1,10,2367,2407,9.6,59.6,7,9.6,19.2,172,2
e2f9bodh,0,Bob4,5,2,0.8,1,5,3098,2739,7.4,68.6,7,2.4,4.8,170,1
e2f9bodh,0,Bob3,6,1,1.2,0,4,2660,2109,11.2,80.2,7,5.2,10.4,173,2
