,Contrast,multiplier,A,B,Paired,Parametric,U-val,alternative,p-unc,p-corr,p-adjust,hedges
0,multiplier,-,1.5,2.5,False,False,301.0,two-sided,2.07509480461926e-05,,,-1.1109411041550334
1,exp,-,1.0,2.0,False,False,218.5,two-sided,0.039634923730791645,0.11890477119237494,bonf,-0.5106677368998691
2,exp,-,1.0,3.0,False,False,377.0,two-sided,0.571822545857659,1.0,bonf,0.1881182448013198
3,exp,-,2.0,3.0,False,False,369.0,two-sided,0.008648801878393881,0.025946405635181642,bonf,0.6822819107404369
4,multiplier * exp,1.5,1.0,2.0,False,False,55.0,two-sided,0.2793087613650269,1.0,bonf,-0.5469726464986558
5,multiplier * exp,1.5,1.0,3.0,False,False,78.5,two-sided,0.3939687145662796,1.0,bonf,-0.2595645237790821
6,multiplier * exp,1.5,2.0,3.0,False,False,75.5,two-sided,0.5350425654370748,1.0,bonf,0.2813943830666963
7,multiplier * exp,2.5,1.0,2.0,False,False,56.0,two-sided,0.10107893698284809,0.6064736218970885,bonf,-0.6188500209548957
8,multiplier * exp,2.5,1.0,3.0,False,False,104.0,two-sided,0.11376285718664579,0.6825771431198747,bonf,0.6917054635585494
9,multiplier * exp,2.5,2.0,3.0,False,False,101.0,two-sided,0.007404940007172212,0.04442964004303327,bonf,1.2355053493287178
